source,target,base,k,n_draws,warm_auc,warm_ci_lower,warm_ci_upper,cold_auc,cold_ci_lower,cold_ci_upper,lift,lift_ci_lower,lift_ci_upper,fold_warm_auc,fold_cold_auc,fold_lift,fold_diverged,confirmatory,confirmatory_passed
STAD,COAD,single,0,1,0.7611902122943133,0.6975807826754199,0.8206198311876545,0.5,0.5,0.5,0.2611902122943133,0.1975807826754199,0.3206198311876545,0.7669426541680762,0.5,0.26694265416807617,False,False,
STAD,COAD,single,10,20,0.7554224571574728,0.6892014451359877,0.8150327180492797,0.6871110069059595,0.6410926975871771,0.7299729303435928,0.0683114502515133,0.018787780288174582,0.11692530266859898,0.7677994139012262,0.7074179549623938,0.0603814589388324,True,False,
STAD,COAD,single,25,20,0.7695732799045101,0.7055827436269076,0.8258126225594679,0.7003879273595363,0.6487012426464318,0.7496529968454257,0.06918535254497382,0.021337709949697362,0.1166898286298918,0.7782886637857342,0.7137824096404533,0.064506254145281,True,False,
STAD,COAD,single,3,20,0.7643767584619321,0.7017566501833062,0.8222869596726067,0.6855273254326881,0.6487887927359537,0.7208346299769799,0.07884943302924396,0.023905810384516942,0.1288534295336348,0.7748713786158672,0.7001822855093709,0.0746890931064963,True,False,
STAD,COAD,single,40,20,0.7610175633046296,0.6907190510699974,0.8210909391252452,0.6931601159519141,0.6311913846022678,0.7505158687867678,0.06785744735271548,0.022082764941597652,0.11428217452468235,0.7690454143644063,0.7069165588438925,0.06212885552051384,True,False,
STAD,COAD,single,5,20,0.7545506863330206,0.6925896815585301,0.8133014856338988,0.6527666467729559,0.6139524895558018,0.6917649629124392,0.10178403956006465,0.04365062025748146,0.1544898328928297,0.7664968357031913,0.6688297345625797,0.09766710114061161,True,False,
STAD,COAD,single,all,1,0.7454173416318527,0.6693601330036661,0.8114992753005371,0.6879955665444625,0.6142392787108876,0.7556078949612073,0.057421775087390214,0.006861198738170443,0.10714042117827598,0.7578261006895565,0.7025113018395044,0.05531479885005208,True,False,
STAD+UCEC,COAD,pooled,0,1,0.7930769886605848,0.7339468411629295,0.8499520419473101,0.5,0.5,0.5,0.29307698866058485,0.23394684116292946,0.3499520419473101,0.7761292472836663,0.5,0.2761292472836663,True,False,
STAD+UCEC,COAD,pooled,10,20,0.7840630062238895,0.7244473633728366,0.8405288174609942,0.6871110069059595,0.6410926975871771,0.7299729303435928,0.09695199931792997,0.048597546679171405,0.14266779989768963,0.7699629754720618,0.7074179549623938,0.06254502050966804,True,False,
STAD+UCEC,COAD,pooled,25,20,0.7909817546252877,0.7295963530565265,0.8472393213402677,0.7003879273595363,0.6487012426464318,0.7496529968454257,0.09059382726575149,0.04133195498337475,0.14004854420666715,0.7771442197656696,0.7137824096404533,0.06336181012521636,True,False,
STAD+UCEC,COAD,pooled,3,20,0.794852502344616,0.7358604207519822,0.8494574878506267,0.6855273254326881,0.6487887927359537,0.7208346299769799,0.10932517691192789,0.060345830846619486,0.15584731221758039,0.7789441775095698,0.7001822855093709,0.0787618920001989,True,False,
STAD+UCEC,COAD,pooled,40,20,0.7872282377014237,0.7216088328075709,0.8447738511382044,0.6931601159519141,0.6311913846022678,0.7505158687867678,0.09406812174950963,0.045839692215875215,0.1457277368062069,0.7763233331272058,0.7069165588438925,0.06940677428331332,True,False,
STAD+UCEC,COAD,pooled,5,20,0.7867550515815499,0.7278812665188849,0.843343742006991,0.6527666467729559,0.6139524895558018,0.6917649629124392,0.13398840480859397,0.07884122687356114,0.1833994266348368,0.770824460916442,0.6688297345625797,0.10199472635386231,True,False,
