source,target,base,local_positive_equivalence,local_ci_lower,local_ci_upper,local_point_censored,local_ci_lower_censored,local_ci_upper_censored,average_source_case_equivalence,average_ci_lower,average_ci_upper,average_point_censored,average_ci_lower_censored,average_ci_upper_censored
COAD,STAD,single,8.937820742332018,3.9859102290989292,24.258832976445397,False,False,False,0.022858876578854267,0.010194143808437158,0.06204305109065319,False,False,False
COAD,UCEC,single,0.5004774372401024,0.0,2.826162604568296,False,False,False,0.0012799934456268604,0.0,0.007228037351837074,False,False,False
COAD+STAD,UCEC,pooled,1.567965501309099,0.0,7.1670498084291,False,False,False,0.0020576975082796573,0.0,0.009405577176416142,False,False,False
COAD+UCEC,STAD,pooled,8.699128774316751,3.806450391793162,26.700884396715118,False,False,False,0.009907891542501995,0.004335364910926153,0.030411030064595806,False,False,False
STAD,COAD,single,,56.31927981995506,59.2,True,False,True,,0.1518039887330325,0.15956873315363881,True,False,True
STAD,UCEC,single,1.8902818419836729,0.0,8.342838590985338,False,False,False,0.005095099304538202,0.0,0.022487435555216543,False,False,False
STAD+UCEC,COAD,pooled,,59.2,59.2,True,True,True,,0.068997668997669,0.068997668997669,True,True,True
UCEC,COAD,single,,2.9306404603868903,59.2,True,False,True,,0.006017742218453573,0.1215605749486653,True,False,True
UCEC,STAD,single,3.481839961667468,1.8788797248856104,8.74700891886013,False,False,False,0.007149568709789462,0.0038580692502784607,0.01796100394016454,False,False,False
