source,target,base,k,n_draws,warm_auc,warm_ci_lower,warm_ci_upper,cold_auc,cold_ci_lower,cold_ci_upper,lift,lift_ci_lower,lift_ci_upper,fold_warm_auc,fold_cold_auc,fold_lift,fold_diverged,confirmatory,confirmatory_passed
STAD,COAD,single,0,1,0.7437121664251002,0.6809126950294143,0.8053180151760594,0.5,0.5,0.5,0.24371216642510019,0.18091269502941432,0.30531801517605933,0.7252724463553658,0.5,0.2252724463553658,True,False,
STAD,COAD,single,10,20,0.7844658538664848,0.7253183881831359,0.8395944347344187,0.7174204962059852,0.6727932368488363,0.7587723271378634,0.06704535766049957,0.0217420496205984,0.11153849433029236,0.7965507093810966,0.7588196115591349,0.03773109782196171,True,False,
STAD,COAD,single,25,20,0.8002003580867934,0.7445175952766645,0.8525848857532612,0.7378399693068464,0.6799112776025236,0.7911672990024724,0.062360388779946985,0.014142989598431221,0.11228568079120149,0.8232139888303245,0.7653919001058525,0.05782208872447203,True,False,
STAD,COAD,single,3,20,0.7710567823343848,0.7098117912865547,0.8271195860687186,0.6613138374968028,0.6260507609344359,0.694428819592463,0.10974294483758196,0.05731456219626592,0.15850429491005216,0.7628389069856547,0.7007020665779107,0.06213684040774403,True,False,
STAD,COAD,single,40,20,0.8042970415210163,0.7475573365163268,0.8606845745587858,0.750556313411203,0.6923583105976638,0.8077366996333872,0.05374072810981334,0.0017949100520079449,0.10705894577542853,0.8370024579166833,0.7768560002449277,0.06014645767175553,True,False,
STAD,COAD,single,5,20,0.7741815159007588,0.7139930407536875,0.8297151291670217,0.6755392616591354,0.6342388524170861,0.7133903146048257,0.09864225424162343,0.048242017648563375,0.14545458905277517,0.770602020502393,0.7193896871169214,0.0512123333854716,True,False,
STAD,COAD,single,all,1,0.807570977917981,0.7450763065905022,0.8704098814903231,0.7672862136584534,0.6975786512064115,0.8351308721971181,0.04028476425952765,-0.013221502259357143,0.10253218518202732,0.8433536890120802,0.7935674915396862,0.04978619747239399,True,False,
STAD+UCEC,COAD,pooled,0,1,0.6606275044760849,0.5914400204621025,0.7324590757950379,0.5,0.5,0.5,0.16062750447608487,0.09144002046210253,0.23245907579503788,0.6824559184608837,0.5,0.18245591846088371,True,False,
STAD+UCEC,COAD,pooled,10,20,0.6780714468411628,0.612727800750277,0.7456876119021231,0.7174204962059852,0.6727932368488363,0.7587723271378634,-0.03934904936482242,-0.0955094743797426,0.01714782803308033,0.7250064055882327,0.7588196115591349,-0.033813205970902205,True,False,
STAD+UCEC,COAD,pooled,25,20,0.7257524085599795,0.6603896858214681,0.7911355401142467,0.7378399693068464,0.6799112776025236,0.7911672990024724,-0.012087560746866899,-0.06742438613692556,0.04353211058061206,0.7656932766422587,0.7653919001058525,0.0003013765364062726,True,False,
STAD+UCEC,COAD,pooled,3,20,0.6701210674396795,0.6027175696990364,0.7387966791712849,0.6613138374968028,0.6260507609344359,0.694428819592463,0.008807229942876638,-0.05305141103248359,0.07239379955665427,0.7044260706192185,0.7007020665779107,0.0037240040413077935,True,False,
STAD+UCEC,COAD,pooled,40,20,0.7394065990280503,0.67399746355188,0.8051528796146303,0.750556313411203,0.6923583105976638,0.8077366996333872,-0.011149714383152709,-0.06729505925483822,0.04459752536448137,0.7894292556196976,0.7768560002449277,0.012573255374769832,True,False,
