source,target,base,local_positive_equivalence,local_ci_lower,local_ci_upper,local_point_censored,local_ci_lower_censored,local_ci_upper_censored,average_source_case_equivalence,average_ci_lower,average_ci_upper,average_point_censored,average_ci_lower_censored,average_ci_upper_censored
COAD,STAD,single,7.996340347666976,4.302308112537558,19.743561667834616,False,False,False,0.020450998331629094,0.011003345556362041,0.050495042628733035,False,False,False
COAD,UCEC,single,6.387175876468895,1.746392161046006,17.586788070622536,False,False,False,0.016335488175112264,0.004466476115207177,0.04497899762307554,False,False,False
COAD+STAD,UCEC,pooled,4.193555482239092,0.9096215431699474,11.622713819534054,False,False,False,0.005503353651232405,0.0011937290592781461,0.015252905274979073,False,False,False
COAD+UCEC,STAD,pooled,6.184812442817938,3.2034645242211592,12.613469134846227,False,False,False,0.00704420551573797,0.0036485928521881083,0.014366137966795247,False,False,False
STAD,COAD,single,31.926751592356645,6.041944791352659,59.2,False,False,True,0.08605593421120389,0.016285565475344096,0.15956873315363881,False,False,True
STAD,UCEC,single,6.605686122171526,1.869841815680876,16.810492767835267,False,False,False,0.017805083887254786,0.0050400048940185335,0.0453113012610115,False,False,False
STAD+UCEC,COAD,pooled,2.9872360667001385,1.7803262679503715,17.79151494622741,False,False,False,0.0034816271173661287,0.0020749723402684983,0.020736031405859452,False,False,False
UCEC,COAD,single,1.319996828836447,0.024098991240944705,2.6583286628712997,False,False,False,0.002710465767631308,4.948458160358256e-05,0.00545858041657351,False,False,False
UCEC,STAD,single,0.4026441301983108,0.0,1.9875754473897858,False,False,False,0.0008267846615981741,0.0,0.0040812637523404225,False,False,False
