source,target,base,local_positive_equivalence,local_ci_lower,local_ci_upper,local_point_censored,local_ci_lower_censored,local_ci_upper_censored,average_source_case_equivalence,average_ci_lower,average_ci_upper,average_point_censored,average_ci_lower_censored,average_ci_upper_censored
COAD,STAD,single,2.147890632340504,0.9348296418509807,4.582621502209134,False,False,False,0.005493326425423283,0.002390868649235245,0.011720259596442798,False,False,False
COAD,UCEC,single,2.0854442712392838,0.0,6.210727427115764,False,False,False,0.005333617061993053,0.0,0.015884213368582516,False,False,False
COAD+STAD,UCEC,pooled,0.4961515978176131,0.0,2.382103682589775,False,False,False,0.0006511175824378125,0.0,0.0031261203183592847,False,False,False
COAD+UCEC,STAD,pooled,2.897679225782202,1.5788822437616001,9.69706709521897,False,False,False,0.003300318024808886,0.001798271348247836,0.011044495552641195,False,False,False
STAD,COAD,single,,59.2,59.2,True,True,True,,0.15956873315363881,0.15956873315363881,True,True,True
STAD,UCEC,single,0.0,0.0,1.9312580368624066,False,False,False,0.0,0.0,0.005205547269170907,False,False,False
STAD+UCEC,COAD,pooled,,59.2,59.2,True,True,True,,0.068997668997669,0.068997668997669,True,True,True
UCEC,COAD,single,,5.513640238704161,59.2,True,False,True,,0.011321643200624561,0.1215605749486653,True,False,True
UCEC,STAD,single,0.4885840458517336,0.0,1.8910527801298318,False,False,False,0.0010032526608865166,0.0,0.0038830652569401066,False,False,False
