source,target,base,local_positive_equivalence,local_ci_lower,local_ci_upper,local_point_censored,local_ci_lower_censored,local_ci_upper_censored,average_source_case_equivalence,average_ci_lower,average_ci_upper,average_point_censored,average_ci_lower_censored,average_ci_upper_censored
COAD,STAD,single,7.996340347666976,4.310924966280966,19.713409253267223,False,False,False,0.020450998331629094,0.011025383545475618,0.0504179264789443,False,False,False
COAD,UCEC,single,6.401743226182405,1.746392161046006,17.65687344557963,False,False,False,0.01637274482399592,0.004466476115207177,0.04515824410634177,False,False,False
COAD+STAD,UCEC,pooled,4.169361046959203,0.906781933773995,11.549876967968142,False,False,False,0.005471602423830975,0.0011900025377611482,0.015157318855601237,False,False,False
COAD+UCEC,STAD,pooled,6.221408966148218,3.2266219565534353,12.762222573256468,False,False,False,0.007085887205180203,0.003674968059855849,0.014535561017376387,False,False,False
STAD,COAD,single,31.927720945832636,6.041944791352659,59.2,False,False,True,0.08605854702380765,0.016285565475344096,0.15956873315363881,False,False,True
STAD,UCEC,single,6.605686122171526,1.869841815680876,16.810492767835267,False,False,False,0.017805083887254786,0.0050400048940185335,0.0453113012610115,False,False,False
STAD+UCEC,COAD,pooled,2.978515366930049,1.7611550877813653,17.766110593615032,False,False,False,0.0034714631316201034,0.0020526283074374886,0.020706422603280924,False,False,False
UCEC,COAD,single,1.3207896197246378,0.0268778149062907,2.661868381463673,False,False,False,0.002712093674999256,5.5190585023184185e-05,0.0054658488325742775,False,False,False
UCEC,STAD,single,0.40063593004769465,0.0,1.9809470994830776,False,False,False,0.0008226610473258617,0.0,0.004067653181690098,False,False,False
