budget,target_share,draw_seed,raw_auc,rank_auc,rank_gap,rank_diverged
50,0,0,0.5595238095238095,0.5750876108018965,0.015563801278086986,True
50,0,1,0.5188105545248403,0.5440115440115441,0.025200989486703795,True
50,0,2,0.49793856936714076,0.5339620696763554,0.03602350030921464,True
50,0,3,0.5146361574933003,0.5460214388785818,0.031385281385281516,True
50,0,4,0.4819624819624819,0.4739229024943311,0.008039579468150815,False
50,0,5,0.5737992166563595,0.5665326736755307,0.0072665429808287385,False
50,0,6,0.518037518037518,0.5382910740053597,0.02025355596784173,True
50,0,7,0.4832508761080189,0.4909039373325087,0.007653061224489777,False
50,0,8,0.5602453102453101,0.5446557410843125,0.01558956916099763,True
50,0,9,0.47845804988662133,0.5000257678829108,0.021567717996289426,True
50,0,10,0.46485260770975056,0.4876314162028447,0.02277880849309416,True
50,0,11,0.5278293135435993,0.5087868480725624,0.01904246547103694,True
50,0,12,0.5021645021645021,0.5241445062873634,0.021980004122861274,True
50,0,13,0.564625850340136,0.5892341785198928,0.024608328179756778,True
50,0,14,0.5562770562770563,0.577020202020202,0.02074314574314573,True
50,0,15,0.585343228200371,0.5820191713048857,0.0033240568954853167,False
50,0,16,0.5221603793032364,0.5411255411255411,0.018965161822304677,True
50,0,17,0.46614100185528756,0.5003092145949288,0.03416821273964127,True
50,0,18,0.4829931972789115,0.5005668934240363,0.017573696145124773,True
50,0,19,0.48469387755102034,0.4921407957122243,0.007446918161203964,False
50,10,0,0.6045145330859617,0.6304370232941662,0.025922490208204474,True
50,10,1,0.6041022469593899,0.6066790352504637,0.0025767882910738837,False
50,10,2,0.674757781900639,0.6658936301793443,0.008864151721294622,False
50,10,3,0.5772005772005773,0.615285508142651,0.03808493094207377,True
50,10,4,0.5655534941249227,0.5581581117295403,0.007395382395382399,False
50,10,5,0.6193568336425478,0.6299732014017728,0.010616367759225032,True
50,10,6,0.6588847660276231,0.6788291074005359,0.01994434137291279,True
50,10,7,0.5402494331065759,0.5806792413935271,0.0404298082869512,True
50,10,8,0.6790867862296434,0.6936198721913006,0.014533085961657255,True
50,10,9,0.6370851370851371,0.6404864976293546,0.003401360544217469,False
50,10,10,0.575345289631004,0.5647804576376004,0.010564831993403523,True
50,10,11,0.6582663368377655,0.6337610801896516,0.02450525664811387,True
50,10,12,0.638682745825603,0.6495310245310245,0.010848278705421488,True
50,10,13,0.7401566687280973,0.7667233560090703,0.026566687280973,True
50,10,14,0.6313131313131313,0.6539888682745825,0.0226757369614512,True
50,10,15,0.7487116058544631,0.7664914450628737,0.01777983920841064,True
50,10,16,0.5782312925170068,0.5884869099154814,0.010255617398474581,True
50,10,17,0.5731292517006803,0.5886672850958565,0.015538033395176232,True
50,10,18,0.6051329622758194,0.6135590599876314,0.00842609771181202,False
50,10,19,0.6601731601731602,0.6528293135435992,0.007343846629561002,False
50,20,0,0.6513605442176871,0.6719748505462791,0.02061430632859207,True
50,20,1,0.6756338899196042,0.6714079571222429,0.004225932797361276,False
50,20,2,0.6721294578437436,0.6733663162234591,0.0012368583797155441,False
50,20,3,0.6132756132756132,0.6213409606266749,0.00806534735106168,False
50,20,4,0.6388373531230674,0.652262420119563,0.013425066996495594,True
50,20,5,0.6973304473304474,0.6909400123685838,0.006390434961863534,False
50,20,6,0.7061945990517419,0.7116573902288188,0.005462791177076931,False
50,20,7,0.5901360544217688,0.6116007008864152,0.02146464646464641,True
50,20,8,0.7256751185322614,0.7317048031333746,0.006029684601113194,False
50,20,9,0.7041331684188826,0.6943413729128014,0.009791795506081225,False
50,20,10,0.6803751803751804,0.6610492681921254,0.019325912183055016,True
50,20,11,0.6913007627293342,0.692022263450835,0.0007215007215007896,False
50,20,12,0.6727478870336013,0.6678004535147392,0.0049474335188621765,False
50,20,13,0.7825706039991754,0.7878272521129663,0.005256648113790896,False
50,20,14,0.6713048855905999,0.6806843949701094,0.009379509379509487,False
