cases,origin,raw_auc,monotone_auc
0.0,e1,0.5,0.5
18.0,e1,0.6539759843331272,0.6539759843331272
29.0,e1,0.7173907441764584,0.7173907441764584
50.0,swap,0.761662543805401,0.761662543805401
59.0,e1,0.7878014842300556,0.7878014842300556
100.0,swap,0.8170377241805813,0.8170377241805813
147.0,e1,0.8464363017934445,0.8464363017934445
200.0,swap,0.851285817357246,0.851285817357246
236.0,e1,0.8607168625025767,0.8595740568954855
296.8,e1,0.8584312512883941,0.8595740568954855
