source,target,base,k,n_draws,warm_auc,warm_ci_lower,warm_ci_upper,cold_auc,cold_ci_lower,cold_ci_upper,lift,lift_ci_lower,lift_ci_upper,rank_warm_auc,rank_cold_auc,rank_lift,rank_diverged,confirmatory,permutation_p
STAD,COAD,single,0,1,0.7437121664251002,0.6809126950294143,0.8053180151760594,0.5,0.5,0.5,0.24371216642510019,0.18091269502941432,0.30531801517605933,0.7275769460312045,0.5203768437206923,0.20720010231051222,True,False,
STAD,COAD,single,10,20,0.784365674823088,0.7251335365333788,0.839495214852076,0.7174204962059852,0.6727932368488363,0.7587723271378634,0.06694517861710281,0.021647732116975096,0.11138305695285197,0.7934158922329269,0.7510657345042204,0.04235015772870643,True,False,
STAD,COAD,single,25,20,0.800144939892574,0.7445084832466535,0.8524647241879101,0.7378421007758548,0.679913355784807,0.7911735868360473,0.06230283911671919,0.014101479239492004,0.11226036959672613,0.8116239662375309,0.7497975104441982,0.06182645579333268,True,False,
STAD,COAD,single,3,20,0.7710312047062836,0.709847759826072,0.8270611838178874,0.6613138374968028,0.6260507609344359,0.694428819592463,0.10971736720948078,0.057433817887288234,0.15844125671412718,0.7635412226106233,0.695162631085344,0.06837859152527925,True,False,
STAD,COAD,single,40,20,0.8042842527069656,0.7475492369340949,0.8606414123113647,0.7505520504731861,0.6923587368914655,0.8077065926336432,0.0537322022337795,0.001740824025918511,0.10714084747207786,0.8224337113138376,0.7589905362776026,0.06344317503623498,True,False,
STAD,COAD,single,5,20,0.7741943047148094,0.7139548341717111,0.8297839223292693,0.6755392616591354,0.6342388524170861,0.7133903146048257,0.09865504305567407,0.04827345681643781,0.14543886946883788,0.7695285190553329,0.7107745758376673,0.05875394321766558,True,False,
STAD,COAD,single,all,1,0.8076562366783187,0.745288387756842,0.8704130786938358,0.7672862136584534,0.6975786512064115,0.8351308721971181,0.04037002301986525,-0.01296039730582323,0.10274106914485465,0.8254326882087135,0.7738085088242815,0.05162417938443198,True,False,
STAD+UCEC,COAD,pooled,0,1,0.660158581294228,0.590919942024043,0.7322480603632022,0.5,0.5,0.5,0.160158581294228,0.09091994202404294,0.23224806036320225,0.6735868360474039,0.5203768437206923,0.15320999232671162,True,False,
STAD+UCEC,COAD,pooled,10,20,0.6781631000085258,0.6130461356466876,0.7457749488447438,0.7174204962059852,0.6727932368488363,0.7587723271378634,-0.03925739619745949,-0.09565047105465087,0.017110900332509216,0.7129987637479751,0.7510657345042204,-0.03806697075624532,True,False,
STAD+UCEC,COAD,pooled,25,20,0.7256628868616251,0.6603363458095319,0.7911171561940489,0.7378421007758548,0.679913355784807,0.7911735868360473,-0.012179213914229714,-0.06755461889334116,0.04327686716685123,0.7500788643533123,0.7497975104441982,0.0002813539091141015,True,False,
STAD+UCEC,COAD,pooled,3,20,0.6700251513342996,0.6026220798874584,0.7387664655980902,0.6613138374968028,0.6260507609344359,0.694428819592463,0.008711313837496792,-0.05313256671497991,0.07228866484781313,0.6940276238383494,0.695162631085344,-0.0011350072469946682,True,False,
STAD+UCEC,COAD,pooled,40,20,0.7394151249040839,0.6741407515559723,0.8051561833915932,0.7505520504731861,0.6923587368914655,0.8077065926336432,-0.011136925569102174,-0.06728061855230617,0.044575784380595306,0.772256799386137,0.7589905362776026,0.013266263108534404,True,False,
STAD+UCEC,COAD,pooled,5,20,0.6768479836303181,0.6101055077159178,0.7463193793162247,0.6755392616591354,0.6342388524170861,0.7133903146048257,0.0013087219711827025,-0.05923954514451365,0.0641898286298916,0.6992561173160541,0.7107745758376673,-0.011518458521613262,True,False,
STAD+UCEC,COAD,pooled,all,1,0.7582061556824964,0.6917245715747293,0.8227065393469178,0.7672862136584534,0.6975786512064115,0.8351308721971181,-0.009080057975957012,-0.0682943984994459,0.05143128143916777,0.7875351692386391,0.7738085088242815,0.01372666041435755,True,False,
UCEC,COAD,single,0,1,0.5710205473612414,0.5020344871685566,0.6434073663568931,0.5,0.5,0.5,0.07102054736124142,0.002034487168556607,0.14340736635689313,0.5643916787449911,0.5203768437206923,0.044014835024298815,True,False,
