budget,target_share,source_cases,target_cases,n_draws,raw_auc,raw_ci_lower,raw_ci_upper,rank_auc,rank_ci_lower,rank_ci_upper,rank_gap,rank_diverged
50,0,50,0,20,0.5171871779014637,0.46288522984951563,0.5742462250051535,0.5308196763553906,0.46889829416615125,0.5934886170377242,0.013632498453926889,True
50,10,45,5,20,0.6284967017109874,0.5892864229024942,0.6663102324263038,0.6389430014430013,0.5971850520511235,0.6792355957534529,0.010446299732013942,True
50,20,40,10,20,0.6747577819006391,0.6376435271078129,0.7097246057513914,0.6777700474129046,0.6388943001443002,0.7147811662543806,0.0030122655122655217,False
50,30,35,15,20,0.7012420119562977,0.6672670583384868,0.7342614924757782,0.7055916305916305,0.6692756326015254,0.7402368712636569,0.004349618635332897,False
50,40,30,20,20,0.707212430426716,0.6757119021851163,0.7389422284065139,0.7100327252112966,0.6768028821377035,0.7425317589156875,0.002820294784580568,False
50,50,25,25,20,0.7140847247990105,0.6821652752009896,0.7465366032776747,0.7182294887652029,0.6840404684601111,0.7522667362399507,0.004144763966192344,False
50,60,20,30,20,0.7350881261595547,0.7023452638631209,0.7672591347144918,0.7413729128014842,0.7066171923314781,0.7745098948670376,0.006284786641929552,False
50,70,15,35,20,0.7480596784168212,0.7139474464028035,0.7811129792826221,0.7516968150896721,0.7148479050711192,0.7861100803957947,0.003637136672850927,False
50,80,10,40,20,0.765491651205937,0.7312577947845804,0.798490517419089,0.7721797052154195,0.7367399118738405,0.806189155586477,0.006688054009482469,False
50,90,5,45,20,0.7740465883323026,0.7391824494949495,0.8079979643372499,0.7799835085549371,0.7430586477015048,0.815330762987013,0.00593692022263459,False
50,100,0,50,20,0.761662543805401,0.7260238224077512,0.7983951118326118,0.7696621830550401,0.7319915352504639,0.8059145987940631,0.00799963924963909,False
100,0,100,0,20,0.5664759843331271,0.5144159065141208,0.6221222428365285,0.5844181612038755,0.5264503774994848,0.6446185064935065,0.017942176870748394,True
100,10,90,10,20,0.6992553081838795,0.6580040842094413,0.7391857993197279,0.7061675427746856,0.6632311636775922,0.7457945526695526,0.006912234590806143,False
100,20,80,20,20,0.7331246134817564,0.6955639945372089,0.7700353019995876,0.7376043599257884,0.698636589105339,0.7738653112760256,0.00447974644403204,False
100,30,70,30,20,0.7481679035250463,0.709201388888889,0.784251636260565,0.7534245516388374,0.7127287543805401,0.7906685799319726,0.005256648113791118,False
100,40,60,40,20,0.7692048031333746,0.7307837301587301,0.8043501984126983,0.7762626262626261,0.7367385590599878,0.8124467571119357,0.007057823129251517,False
100,50,50,50,20,0.7767109874252732,0.7387994743351887,0.8114672876726448,0.7828553391053392,0.7443060387033601,0.8195225855493713,0.006144351680065996,False
100,60,40,60,20,0.7967480931766646,0.7607155741084314,0.8309297052154195,0.8011170377241804,0.7631363700783343,0.8370674860853431,0.004368944547515796,False
100,70,30,70,20,0.8071686250257679,0.771713048855906,0.8416687280972996,0.8082624716553288,0.7709009740259741,0.8435647933415789,0.0010938466295609128,False
100,80,20,80,20,0.812641723356009,0.7756483199340343,0.8478438079777365,0.8127525252525251,0.7745347930839002,0.849429338023088,0.00011080189651602179,False
100,90,10,90,20,0.8218898165326737,0.7845349541331684,0.8591468253968253,0.8232722634508349,0.7850349476911976,0.8598480983302411,0.0013824469181612509,False
100,100,0,100,20,0.8170377241805813,0.7766784554730982,0.8556057385075242,0.8217120181405896,0.7821456916099774,0.8592948940940013,0.004674293960008291,False
200,0,200,0,20,0.6429705215419501,0.5944614512471657,0.690152867965368,0.6757472686044113,0.6231379805710163,0.7252093640486498,0.03277674706246114,True
200,10,180,20,20,0.7653138528138529,0.7244870258709545,0.8053941841888269,0.7697459286745,0.7277295274170275,0.807853052205731,0.004432075860647089,False
200,20,160,40,20,0.7844181612038754,0.7418676561533705,0.825294398062255,0.7879161513090084,0.746595547309833,0.8272088551329623,0.0034979901051329643,False
200,30,140,60,20,0.8048623995052566,0.7636007395382396,0.8434907750979179,0.8089427437641723,0.769698709029066,0.8465911023500309,0.00408034425891568,False
200,40,120,80,20,0.8081529581529582,0.7658738533292105,0.8470434575345289,0.8110363842506697,0.7712948683261184,0.8490020421047209,0.002883426097711528,False
200,50,100,100,20,0.8152288188002472,0.774032029478458,0.854462031024531,0.8180774582560296,0.7773307372191303,0.8555962688105544,0.002848639455782398,False
200,60,80,120,20,0.8253169449598021,0.7872717609771179,0.8619539785611213,0.8255462791177077,0.7873378233869306,0.861911171665636,0.00022933415790560296,False
200,70,60,140,20,0.8323721913007626,0.7946907854050711,0.8695439728921872,0.8321402803545659,0.7935880810657595,0.8691475018037516,0.0002319109461966784,False
200,80,40,160,20,0.8363146773861059,0.7972830344258917,0.8735075886415172,0.836230931766646,0.7966318800247372,0.8724652777777779,8.374561945989623e-05,False
200,90,20,180,20,0.8466166769738198,0.8067015177283033,0.8841379998969285,0.8441609977324264,0.8049218588950731,0.8803459338280768,0.002455679241393449,False
200,100,0,200,20,0.851285817357246,0.8098900355596783,0.8911504071325497,0.852404143475572,0.8123328630694703,0.8893516800659657,0.001118326118326074,False
