permutation,null_mean_lift
0,-0.19374871160585444
1,-0.18389507318078743
2,-0.13539991754277464
3,-0.21371882086167798
4,-0.13903061224489796
5,-0.11298701298701297
6,-0.0988378684807256
7,-0.11386827458256028
8,-0.1441893424036281
9,-0.10337559266130694
10,-0.16106988249845391
11,-0.07527313955885385
12,-0.1416408987837559
13,-0.074721706864564
14,-0.16731344052772626
15,-0.16743970315398887
16,-0.17133838383838382
17,-0.13705936920222636
18,-0.16529839208410632
19,-0.10490105132962277
20,-0.17742991135848277
21,-0.035801896516182215
22,-0.136698618841476
23,-0.11709183673469385
24,-0.17652803545660684
25,-0.1469645433931148
26,-0.20968614718614717
27,-0.1260410224695939
28,-0.18806431663574516
29,-0.14718357039785612
30,-0.2172954030096887
31,-0.09396000824572251
32,-0.13242630385487525
33,-0.06939548546691406
34,-0.09502422180993608
35,-0.15169552669552666
36,-0.11798082869511436
37,-0.15197381983096273
38,-0.16135848278705417
39,-0.17318336425479286
40,-0.14988919810348383
41,-0.07430684394970108
42,-0.16265976087404657
43,-0.14243970315398888
44,-0.11599927849927849
45,-0.12846835703978554
46,-0.12282261389404248
47,-0.12999896928468352
48,-0.10612760255617397
49,-0.08773191094619663
50,-0.1860776128633271
51,-0.12698928056070913
52,-0.1962327355184498
53,-0.07672387136672851
54,-0.11577252112966399
55,-0.17514172335600903
56,-0.1863352916924345
57,-0.12068645640074212
58,-0.09945372088229229
59,-0.1616084312512884
60,-0.06140744176458461
61,-0.11101834673263244
62,-0.10131416202844772
63,-0.11583951762523186
64,-0.012430426716140992
65,-0.0786590393733251
66,-0.09596990311276024
67,-0.1228896103896104
68,-0.08944289837146979
69,-0.12451298701298699
70,-0.13718820861678002
71,-0.1873196248196248
72,-0.21013193156050294
73,-0.08636363636363638
74,-0.21637033601319314
75,-0.11754277468563183
76,-0.14880437023294166
77,-0.24845392702535557
78,-0.15810142238713665
79,-0.09527417027417026
80,-0.15110028860028854
81,-0.14860595753452896
82,-0.05207173778602349
83,-0.15767367553081835
84,-0.12844516594516595
85,-0.08506751185322614
86,-0.13378427128427126
87,-0.12896052360338078
88,-0.16996753246753246
89,-0.1629921665635951
90,-0.09120026798598227
91,-0.2403267367553082
92,-0.12657184085755513
93,-0.06904761904761902
94,-0.1919294990723562
95,-0.17236652236652233
96,-0.09918831168831166
97,-0.08225881261595547
98,-0.11477530406101832
99,-0.10499381570810137
100,-0.08278190063904348
101,-0.1730674087816945
102,-0.16483199340342197
103,-0.1625747268604411
104,-0.17371675943104514
105,-0.12809987631416203
106,-0.12230983302411876
107,-0.16184034219748505
108,-0.0790919398062255
109,-0.10058235415378272
110,-0.12007575757575757
111,-0.11765099979385689
112,-0.18520150484436196
113,-0.0400974025974026
114,-0.16360544217687076
115,-0.17429911358482783
116,-0.11494021851164704
117,-0.08341836734693878
118,-0.07179962894248608
119,-0.21363378684807258
120,-0.11923314780457635
121,-0.18025664811379097
122,-0.1277236652236652
123,-0.15667388167388166
124,-0.11206452277880849
125,-0.13879097093382806
126,-0.1912466501752216
127,-0.16128375592661304
128,-0.09195526695526693
129,-0.16780045351473918
130,-0.08449031127602555
131,-0.12632704596990313
132,-0.13850494743351888
133,-0.1852891156462585
134,-0.17081787260358688
135,-0.1761801690373119
136,-0.13374819624819625
137,-0.11612296433725004
138,-0.16257472686044114
139,-0.1353870336013193
140,-0.11198721913007628
141,-0.1476293547722119
142,-0.16630849309420737
143,-0.12570603999175428
144,-0.13875489589775306
145,-0.16360028860028858
146,-0.11682385075242219
147,-0.19791022469593894
148,-0.12418831168831168
149,-0.1394686662543805
150,-0.0648010719439291
151,-0.19980931766646048
152,-0.14749278499278498
153,-0.1804138321995465
154,-0.17123788909503193
155,-0.1845521541950113
156,-0.04375386518243658
157,-0.16891877963306534
158,-0.06591424448567304
159,-0.11547361368789937
160,-0.13645382395382394
161,-0.15926355390641106
162,-0.06305400948258091
163,-0.09572253143681715
164,-0.18939909297052154
165,-0.22973871366728513
166,-0.10224695938981654
167,-0.11893681715110285
168,-0.1685477221191507
169,-0.08003246753246755
170,-0.13041898577612862
171,-0.12436095650381365
172,-0.09217171717171717
173,-0.06739332096474952
174,-0.13072820037105748
175,-0.19435941043083899
176,-0.1310399917542774
177,-0.03767779839208408
178,-0.22411100803957945
179,-0.10301999587713873
180,-0.10345804988662133
181,-0.10034013605442176
182,-0.1710832817975675
183,-0.014873222016079147
184,-0.14281076066790355
185,-0.1680735930735931
186,-0.10758606472892185
187,-0.12393320964749537
188,-0.12499742321170892
189,-0.08500566893424033
190,-0.15397598433312717
191,-0.17328901257472684
192,-0.12216037930323642
193,-0.1152133580705009
194,-0.09524324881467738
195,-0.15264378478664192
196,-0.20208462172747885
197,-0.1558286951144094
198,-0.20202277880849304
199,-0.1638193156050299
200,-0.14380540094825806
201,-0.10636209029066172
202,-0.14762420119562977
203,-0.15066738816738814
204,-0.19297309833024118
205,-0.200907029478458
206,-0.12548701298701298
207,-0.08672180993609563
208,-0.1492991135848278
209,-0.06193052978767265
210,-0.16185837971552253
211,-0.15259997938569367
212,-0.1990208204493919
213,-0.15110028860028862
214,-0.13201401772830343
215,-0.07821325499896928
216,-0.12630643166357453
217,-0.14195269016697587
218,-0.12696351267779835
219,-0.03790713254998966
220,-0.13788909503195218
221,-0.1475855493712636
222,-0.2116161616161616
223,-0.1619562976705834
224,-0.12791950113378686
225,-0.18961811997526284
226,-0.0656307977736549
227,-0.19517367553081838
228,-0.17464182642754073
229,-0.14948721913007626
230,-0.1485183467326324
231,-0.12813595135023703
232,-0.13155277262420115
233,-0.1183286951144094
234,-0.13896361574933
235,-0.1073232323232323
236,-0.17971809936095648
237,-0.07731137909709337
238,-0.16822820037105748
239,-0.1640769944341373
240,-0.11989538239538237
241,-0.08675015460729744
242,-0.08415790558647702
243,-0.1928519892805607
244,-0.11957328385899813
245,-0.10544475365903934
246,-0.17481962481962482
247,-0.11802205730777157
248,-0.18181302824159967
249,-0.15597041847041843
250,-0.12184343434343432
251,-0.07761286332714903
252,-0.13141362605648318
253,-0.0770794681508967
254,-0.134193980622552
255,-0.09773757988043699
256,-0.14245001030715315
257,-0.1054241393527108
258,-0.14340084518655946
259,-0.13459080601937745
260,-0.044421253349824774
261,-0.12373737373737373
262,-0.14849515563801277
263,-0.10216450216450212
264,-0.06364667078952792
265,-0.08650278293135436
266,-0.11166254380540094
267,-0.17749175427746852
268,-0.11330138115852403
269,-0.1554267161410018
270,-0.2004277468563183
271,-0.0604179550608122
272,-0.15759121830550404
273,-0.10711708925994638
274,-0.05853432282003711
275,-0.23771902700474126
276,-0.2210807050092764
277,-0.17209853638425068
278,-0.07857400535971963
279,-0.1530096887239744
280,-0.19092970521541947
281,-0.14481550195835907
282,-0.15528499278499275
283,-0.13163522984951553
284,-0.13031076066790354
285,-0.13519892805607092
286,-0.16700680272108842
287,-0.1314883529169243
288,-0.12998350855493712
289,-0.16256184291898576
290,-0.10773809523809523
291,-0.1892316017316017
292,-0.11162904555761695
293,-0.11611781076066788
294,-0.1233147804576376
295,-0.2672077922077923
296,-0.19865491651205938
297,-0.14033446712018136
298,-0.19929138321995463
299,-0.10569470212327356
300,-0.09186765615337045
301,-0.1360441146155432
302,-0.09148886827458254
303,-0.2097428365285508
304,-0.11421614100185531
305,-0.1493841475984333
306,-0.20089672232529376
307,-0.15173417851989282
308,-0.05942589156874869
309,-0.17887806637806633
310,-0.13411667697381982
311,-0.14656514120799832
312,-0.09253762110904969
313,-0.1424654710368996
314,-0.08681199752628324
315,-0.141192537621109
316,-0.1321866625438054
317,-0.1659606266749124
318,-0.112291280148423
319,-0.14389043496186346
320,-0.11122964337250048
321,-0.19355029890744177
322,-0.1262291280148423
323,-0.20278550814265098
324,-0.12590445269016698
325,-0.10919398062255206
326,-0.0764842300556586
327,-0.08212739641311066
328,-0.09142960214388786
329,-0.15810142238713668
330,-0.20072923108637392
331,-0.1974773242630385
332,-0.2582096474953618
333,-0.06943929086786228
334,-0.09927849927849927
335,-0.2056843949701092
336,-0.14359925788497216
337,-0.18697691197691196
338,-0.08124098124098122
339,-0.09778396206967635
340,-0.10884096062667492
341,-0.0663059163059163
342,-0.11453050917336631
343,-0.19315605029890742
344,-0.062471655328798135
345,-0.11173211708925992
346,-0.12175066996495568
347,-0.22867965367965368
348,-0.19115388579674292
349,-0.09660894660894659
350,-0.1121598639455782
351,-0.1214491857349
352,-0.084366625438054
353,-0.13061739847454135
354,-0.12509276437847863
355,-0.1264481550195836
356,-0.12365491651205936
357,-0.10702947845804989
358,-0.14071325499896928
359,-0.08015615337043906
360,-0.1365079365079365
361,-0.07696351267779837
362,-0.12869511440940012
363,-0.14466089466089463
364,-0.1243351886209029
365,-0.11739074417645842
366,-0.14571480107194393
367,-0.0823361162646877
368,-0.16330395794681507
369,-0.12963306534735106
370,-0.08959492888064316
371,-0.14698000412286122
372,-0.09961863533292105
373,-0.1262291280148423
374,-0.08461399711399711
375,-0.10266955266955265
376,-0.12436353329210473
377,-0.07902236652236648
378,-0.13444135229849513
379,-0.10365388579674291
380,-0.1242939600082457
381,-0.2157519068233354
382,-0.09591063698206556
383,-0.13457792207792205
384,-0.17510564831993403
385,-0.13494382601525454
